denovo	std	IBD_logabun	nonIBD_logabun	delta_logabun	snr	abs_snr	IBD_presence	nonIBD_presence	delta_presence	abs_delta_presence	rank_snr	rank_delta_presence
g__Roseburia	1.2602483666896174	-2.256210229655113	-1.7644176106365037	-0.49179261901860927	-0.39023468073236656	0.39023468073236656	0.6567164179104478	0.8333333333333334	-0.1766169154228856	0.1766169154228856	30	22
g__Collinsella	0.9690404357924189	-3.366850235096657	-3.097497769254701	-0.26935246584195616	-0.2779579219743261	0.2779579219743261	0.2835820895522388	0.4583333333333333	-0.17475124378109452	0.17475124378109452	45	23
g__Enterococcus	0.7939116759991163	-3.4989745402737777	-3.7450858230208186	0.24611128274704086	0.30999831616951157	0.30999831616951157	0.2537313432835821	0.08333333333333333	0.17039800995024879	0.17039800995024879	39	24
g__Lachnospira	0.7734392613641512	-3.5403343898562913	-3.4141038719850587	-0.12623051787123263	-0.16320676254343996	0.16320676254343996	0.208955223880597	0.375	-0.166044776119403	0.166044776119403	53	25
g__Holdemania	0.3013323113144937	-3.864975901297145	-3.7177552099730433	-0.14722069132410187	-0.4885658981669941	0.4885658981669941	0.04477611940298507	0.20833333333333334	-0.16355721393034828	0.16355721393034828	21	26
g__Klebsiella	0.9064626904885744	-3.3307973766616668	-3.7328992082183814	0.40210183155671464	0.44359446425752586	0.44359446425752586	0.3283582089552239	0.16666666666666666	0.16169154228855723	0.16169154228855723	22	27
g__Parasutterella	0.6340793096263144	-3.6920720243771994	-3.598172304676669	-0.09389971970053024	-0.14808828844434097	0.14808828844434097	0.11940298507462686	0.25	-0.13059701492537312	0.13059701492537312	55	28
g__Blautia	1.1682009713005257	-2.056335688520526	-1.8240181476335502	-0.23231754088697598	-0.19886778610391267	0.19886778610391267	0.746268656716418	0.875	-0.12873134328358204	0.12873134328358204	52	29
g__Proteus	0.5537878204305354	-3.699498396640702	-3.9164539485499255	0.21695555190922367	0.3917665645671916	0.3917665645671916	0.11940298507462686	0.0	0.11940298507462686	0.11940298507462686	29	30
g__Akkermansia	0.5843109395531966	-3.7779901810482452	-3.540498145436375	-0.23749203561187038	-0.40644803910991767	0.40644803910991767	0.08955223880597014	0.20833333333333334	-0.1187810945273632	0.1187810945273632	25	31
g__Acetanaerobacterium	0.26224579947873444	-3.9057102287945216	-3.7554977477400224	-0.15021248105449914	-0.5727927057481045	0.5727927057481045	0.014925373134328358	0.125	-0.11007462686567164	0.11007462686567164	16	32
g__Dorea	0.9617800126249698	-3.0502630633019017	-2.9562364338498845	-0.09402662945201712	-0.09776313524689689	0.09776313524689689	0.47761194029850745	0.5833333333333334	-0.10572139303482592	0.10572139303482592	63	33
g__Providencia	0.26806490551839346	-3.814509525412365	-3.9164539485499255	0.10194442313756058	0.380297536301579	0.380297536301579	0.1044776119402985	0.0	0.1044776119402985	0.1044776119402985	31	34
g__Streptococcus	0.9987710980487529	-2.193601441624478	-2.598712387214483	0.40511094559000504	0.40560939977283006	0.40560939977283006	0.8507462686567164	0.75	0.10074626865671643	0.10074626865671643	26	35
g__Bilophila	0.2562743463512373	-3.8835600048857866	-3.79214894116967	-0.09141106371611674	-0.3566922129257258	0.3566922129257258	0.029850746268656716	0.125	-0.09514925373134328	0.09514925373134328	34	36
