denovo	std	CRC_logabun	H_logabun	nonCRC_logabun	delta_logabun	snr	abs_snr	CRC_presence	H_presence	nonCRC_presence	delta_presence	abs_delta_presence	rank_snr	rank_delta_presence
g__Clostridium_XI	1.1136107778	-2.80132378073	-2.54308530163	-2.60732500299	-0.258238479104	-0.231892941638	0.231892941638	0.891666666667	0.959302325581	0.929292929293	-0.0676356589147	0.0676356589147	31	39
g__Pseudoflavonifractor	1.201251287	-4.17838123465	-4.3528734656	-4.32715952332	0.174492230954	0.145258725499	0.145258725499	0.641666666667	0.575581395349	0.585858585859	0.0660852713178	0.0660852713178	66	40
g__Butyricicoccus	1.04528247387	-3.2492200353	-3.32612599609	-3.3760351887	0.0769059607839	0.0735743329736	0.0735743329736	0.916666666667	0.854651162791	0.843434343434	0.062015503876	0.062015503876	109	41
g__Methylobacterium	0.648276593524	-5.48042930412	-5.36801508272	-5.35728348692	-0.112414221402	-0.173404720338	0.173404720338	0.108333333333	0.168604651163	0.20202020202	-0.0602713178295	0.0602713178295	55	42
g__Enterococcus	1.13889847122	-4.86576971021	-5.08684931312	-4.86683399157	0.22107960291	0.194117042473	0.194117042473	0.333333333333	0.273255813953	0.353535353535	0.0600775193798	0.0600775193798	48	43
g__Subdoligranulum	0.877469374161	-3.00696745104	-3.08895313882	-3.08066387088	0.0819856877795	0.0934342441956	0.0934342441956	0.966666666667	0.906976744186	0.919191919192	0.0596899224806	0.0596899224806	91	44
g__Acetitomaculum	0.912515215473	-5.23749260746	-5.28252247044	-5.23292422572	0.0450298629857	0.0493469722171	0.0493469722171	0.216666666667	0.156976744186	0.181818181818	0.0596899224806	0.0596899224806	131	45
g__Lactonifactor	1.02260787473	-4.81906234637	-4.91822907625	-5.05534677746	0.0991667298813	0.0969743460142	0.0969743460142	0.408333333333	0.348837209302	0.318181818182	0.059496124031	0.059496124031	86	46
g__Escherichia/Shigella	1.18976557976	-2.90794633804	-3.16541053272	-3.01309626262	0.257464194682	0.216399094966	0.216399094966	0.916666666667	0.860465116279	0.909090909091	0.0562015503876	0.0562015503876	41	47
g__Weissella	0.580263016661	-5.44301766116	-5.58667794342	-5.50375663399	0.14366028226	0.247577870957	0.247577870957	0.1	0.046511627907	0.0757575757576	0.053488372093	0.053488372093	27	48
g__Gracilibacter	0.385616963902	-5.64213160527	-5.55491265604	-5.54753565566	-0.0872189492333	-0.226180270574	0.226180270574	0.0166666666667	0.0697674418605	0.0757575757576	-0.0531007751938	0.0531007751938	34	49
g__Lachnoanaerobaculum	0.300863182559	-5.54462252864	-5.65947129646	-5.6393417092	0.114848767819	0.381730881265	0.381730881265	0.0583333333333	0.00581395348837	0.0151515151515	0.052519379845	0.052519379845	9	50
g__Ethanoligenens	0.402991265302	-5.66738570209	-5.5528305375	-5.59155754974	-0.114555164591	-0.284262152693	0.284262152693	0.0	0.0523255813953	0.0353535353535	-0.0523255813953	0.0523255813953	20	51
g__Corynebacterium	0.61806845681	-5.35808351359	-5.42614599859	-5.44188829718	0.0680624850084	0.110121272585	0.110121272585	0.191666666667	0.139534883721	0.141414141414	0.0521317829457	0.0521317829457	83	52
g__Streptophyta	0.810135438179	-5.35686340555	-5.23868497004	-5.25924405008	-0.118178435513	-0.145874911705	0.145874911705	0.158333333333	0.209302325581	0.237373737374	-0.0509689922481	0.0509689922481	65	53
g__Anaerofilum	0.850404151365	-5.08121436509	-5.1783269651	-5.1635874829	0.0971126000147	0.114195820727	0.114195820727	0.316666666667	0.267441860465	0.282828282828	0.0492248062016	0.0492248062016	80	54
g__Granulicatella	0.861824522221	-5.17456632716	-5.10581598746	-5.15221753909	-0.0687503396958	-0.0797730140221	0.0797730140221	0.266666666667	0.313953488372	0.287878787879	-0.0472868217054	0.0472868217054	101	55
g__Phascolarctobacterium	1.52133666911	-3.0951973114	-3.11610060834	-2.95313843168	0.0209032969434	0.0137400861807	0.0137400861807	0.816666666667	0.773255813953	0.833333333333	0.0434108527132	0.0434108527132	154	56
g__Eikenella	0.314085248439	-5.56739199694	-5.66738570209	-5.63040990981	0.0999937051473	0.318364856816	0.318364856816	0.0416666666667	0.0	0.0151515151515	0.0416666666667	0.0416666666667	17	57
g__Clostridium_XVIII	0.868209359469	-2.89869013672	-2.56974774789	-2.55907020025	-0.32894238883	-0.37887450215	0.37887450215	0.925	0.96511627907	0.969696969697	-0.0401162790698	0.0401162790698	10	58
