denovo	std	CDI_logabun	H_logabun	nonCDI_logabun	delta_logabun	snr	abs_snr	CDI_presence	H_presence	nonCDI_presence	delta_presence	abs_delta_presence	rank_snr	rank_delta_presence
g__Coprobacillus	0.702079506495	-4.16913365109	-3.91859555361	-4.26407986385	-0.250538097474	-0.356851460777	0.356851460777	0.204301075269	0.441558441558	0.14606741573	-0.23725736629	0.23725736629	60	27
g__Raoultella	0.971612697634	-3.72127193017	-4.37438873753	-4.03646630512	0.653116807359	0.672198715548	0.672198715548	0.290322580645	0.0649350649351	0.23595505618	0.22538751571	0.22538751571	26	28
g__Yersinia	0.696876442991	-3.93754767303	-4.40869561569	-4.07472655406	0.471147942665	0.676085333927	0.676085333927	0.301075268817	0.0844155844156	0.280898876404	0.216659684402	0.216659684402	25	29
g__Actinomyces	0.428065522762	-4.19270728243	-4.46195309537	-4.2466428807	0.269245812935	0.628982710867	0.628982710867	0.247311827957	0.0324675324675	0.213483146067	0.214844295489	0.214844295489	30	30
g__Clostridium_XlVa	0.951080463603	-2.84267004101	-2.21033545559	-3.12374616671	-0.632334585421	-0.664859188702	0.664859188702	0.795698924731	1.0	0.629213483146	-0.204301075269	0.204301075269	27	31
g__Carnobacterium	0.446105137687	-4.24321986867	-4.49557208711	-4.15661620927	0.252352218441	0.565678798834	0.565678798834	0.204301075269	0.0	0.23595505618	0.204301075269	0.204301075269	34	32
g__Syntrophococcus	0.354205358603	-4.47707721372	-4.26406472233	-4.47026102581	-0.213012491388	-0.601381334908	0.601381334908	0.010752688172	0.214285714286	0.0224719101124	-0.203533026114	0.203533026114	31	33
g__Dialister	1.19666892949	-3.70695598361	-3.3394314086	-3.87440290682	-0.367524575013	-0.307123019538	0.307123019538	0.322580645161	0.525974025974	0.337078651685	-0.203393380813	0.203393380813	67	34
g__Prevotella	1.17639821345	-4.07320021178	-3.52188115344	-4.03193378036	-0.551319058346	-0.468650030272	0.468650030272	0.215053763441	0.415584415584	0.224719101124	-0.200530652144	0.200530652144	45	35
g__Serratia	0.433457096167	-4.17629571754	-4.4125676775	-4.2364904403	0.236271959968	0.545087304044	0.545087304044	0.279569892473	0.0844155844156	0.224719101124	0.195154308058	0.195154308058	37	36
g__Sporobacter	0.404380288575	-4.42695506457	-4.27040183409	-4.34228675974	-0.156553230484	-0.387143574768	0.387143574768	0.0430107526882	0.233766233766	0.123595505618	-0.190755481078	0.190755481078	55	37
g__Clostridium_XVIII	1.05587984355	-2.89097093667	-2.83511572296	-3.23728394477	-0.0558552137051	-0.052899213908	0.052899213908	0.698924731183	0.88961038961	0.573033707865	-0.190685658428	0.190685658428	107	38
g__Blautia	1.06242977168	-2.13050585682	-1.98452125867	-2.5492984201	-0.145984598155	-0.137406351032	0.137406351032	0.817204301075	1.0	0.730337078652	-0.182795698925	0.182795698925	92	39
g__Sutterella	0.828717013419	-4.24996363669	-3.80745759721	-4.34698343705	-0.442506039473	-0.533965192349	0.533965192349	0.172043010753	0.350649350649	0.0898876404494	-0.178606339897	0.178606339897	39	40
g__Eggerthella	0.368133979503	-4.30939698188	-4.49557208711	-4.26801448144	0.186175105229	0.505726489797	0.505726489797	0.172043010753	0.0	0.179775280899	0.172043010753	0.172043010753	41	41
g__Oxalobacter	0.410482967675	-4.49557208711	-4.26745126928	-4.43311127877	-0.228120817822	-0.555737596407	0.555737596407	0.0	0.162337662338	0.0449438202247	-0.162337662338	0.162337662338	36	42
g__Anaerofilum	0.373902762317	-4.42814025291	-4.26685177595	-4.43929989362	-0.161288476967	-0.431364764378	0.431364764378	0.0537634408602	0.214285714286	0.0561797752809	-0.160522273425	0.160522273425	49	43
g__Pseudomonas	0.520126356305	-4.39451282079	-4.26519373455	-4.37494783489	-0.129319086236	-0.248630135098	0.248630135098	0.0430107526882	0.201298701299	0.0561797752809	-0.158287948611	0.158287948611	76	44
g__Erysipelotrichaceae_incertae_sedis	1.0122417603	-2.75167383845	-3.03967591632	-2.97577791051	0.288002077872	0.284519063693	0.284519063693	0.741935483871	0.883116883117	0.719101123596	-0.141181399246	0.141181399246	71	45
g__Proteus	0.529825192956	-4.20613350187	-4.47580496974	-4.39909223922	0.269671467869	0.508981965097	0.508981965097	0.150537634409	0.012987012987	0.0337078651685	0.137550621422	0.137550621422	40	46
g__Bilophila	0.71425358251	-4.17747764464	-4.09520478764	-4.02448565035	-0.082272857	-0.115187181436	0.115187181436	0.182795698925	0.318181818182	0.258426966292	-0.135386119257	0.135386119257	95	47
